Item Number,Mfr. Name (Manufacturers),Mfr. Part Number (Manufacturers),
190.0015,FAIRCHILD,1N5235B,
190.0025,ON SEMICONDUCTOR,MUR860G,
190.0027,ST MICROELECTRONICS,STTH8L06D,
190.0038,ST MICROELECTRONICS,STTH30S12W,
190.0043,ST MICROELECTRONICS,STPSC12065D,
190.0056,FAIRCHILD,FFH50US60S,
190.0057,ON SEMICONDUCTOR,1N4006G,
190.0058,ON SEMICONDUCTOR,MUR820G,
190.0059,INFINEON,IDH12G65C5XKSA1,
190.0060,FAIRCHILD,RURG8060,
190.0061,STMICRO,STTH802FP,
190.0062,ON SEMICONDUCTOR,MSR860G,
190.0063,VISHAY,VS-60APU06PBF,
190.0065,MICROSEMI,APT60S20BG,
190.0066,VISHAY,VS-30ETH06-M3,
190.0067,ON SEMICONDUCTOR,FFSP2065A,
190.0068,DIODES INC,SB3100-T,
191.0008,Digi-Key Electronics,751-1101-ND,
191.0022,KINGBRIGHT,WP934SB/4ID,
191.0024,KINGBRIGHT,WP13GD,
191.0026,LUMEX,SSF-LXH24OLIID,
193.0002,DIODES INC,BAV99-7-F,
193.0003,ON SEMICONDUCTOR,BZX84C24LT1G,
193.0004,ON SEMICONDUCTOR,BAS70-04LT1,
193.0005,DIODES INC,BAV70-7-F,
193.0008,ON SEMICONDUCTOR,MBRS340T3G,
193.0014,ON SEMICONDUCTOR,MURS360T3G,
193.0018,Littelfuse,SMBJ9.0CA,
193.0019,ON SEMICONDUCTOR,S2J,
193.0020,DIODES INC,US1M-13-F,
193.0021,DIODES INC,ES2D-13-F,
193.0023,DIODES INC,B160-13-F,
193.0024,DIODES INC,MMSZ5258B-7-F,
193.0025,DIODES INC,1N4148W-7-F,
193.0026,DIODES INC,MMBD2004S-7-F,
193.0027,ON SEMICONDUCTOR,MMSZ4717T1G,
193.0028,DIODES INC,ES3D-13-F,
193.0030,ON SEMICONDUCTOR,MMSZ5231BT1G,
193.0031,ON SEMICONDUCTOR,MMSZ4707T1G,
193.0033,DIODES INC,B560C-13F,
193.0034,DIODES INC,BAS21DW-7,
193.0035,DIODES INC,ES1B-13-F,
193.0036,DIODES INC,SMAJ58A-13-F,
193.0037,DIODES INC,B1100-13-F,
193.0038,ON SEMICONDUCTOR,MMSZ5227BT1G,
193.0039,ON SEMICONDUCTOR,MMSZ5256BT1G,
193.0040,ON SEMICONDUCTOR,MBRS1100T3G,
193.0041,DIODES INC,MMSZ5242B-7-F,
193.0044,DIODES INC,PDS3200-13,
193.0045,DIODES INC,MMSZ5246B-7-F,
193.0046,DIODES INC,BAS20-7-F,
193.0047,ON SEMICONDUCTOR,MRA4004T3G,
193.0048,DIODES INC,BAS40-7-F,
193.0049,ON SEMICONDUCTOR,SS26T3G,
193.0050,NEXPERIA,"BAW56,215",
193.0051,DIODES INC,BAV756DW-7-F,
193.0054,ON SEMICONDUCTOR,BZX84C12LT1G,
193.0056,ON SEMICONDUCTOR,MMSZ30T1G,
193.0057,DIODES INC,SMBJ36A-13-F,
193.0059,ON SEMICONDUCTOR,BZX84C3V9LT1G,
193.0061,ON SEMICONDUCTOR,BZX84C5V1LT1G,
193.0062,DIODES INC,SMBJ60CA-13-F,
193.0063,DIODES INC,RH02-T,
193.0064,KINGBRIGHT,APTR-3216CGCK,
193.0065,KINGBRIGHT,APTR-3216SYCK,
193.0067,DIODES INC,ES2BA-13-F,
193.0068,KINGBRIGHT,AP-3216-SYCK,
193.0069,KINGBRIGHT,AP-3216-MGC,
193.0070,ON SEMICONDUCTOR,MMSZ5226BT1G,
193.0071,ON SEMICONDUCTOR,MBRA130LT3G,
193.0074,VISHAY,SSC54-E3/57T,
193.0081,VISHAY,MBRB1645-E3/81,
193.0082,DIODES INC,SMAJ85A-13-F,
193.0085,DIODES INC,PDS760-13,
193.0086,FAIRCHILD,MMBD4148,
193.0087,STANLEY ELECTRIC,BRPG1211C,
193.0088,ON SEMICONDUCTOR,MMSZ5223BT1G,
193.0089,DIODES INC,MMSZ5255B-7-F,
193.0090,DIODES INC,SMAZ15-13-F,
193.0092,Taiwan Semiconductor,SMCJ43CA,
193.0093,DIODES INC,BZT52C5V1S-7-F,
193.0105,ON SEMICONDUCTOR,MBR30H100MFS,
193.0107,AVX,SD0805S020S1R0,
193.0110,DIODES INC,B340A-13-F,
193.0111,AVX,SD0805S020L1R0,
193.0113,DIODES INC,PDS5100H-13,
193.0114,NEXPERIA,"BAT46WJ,115",
193.0115,DIODES INC,BAS21-7-F,
193.0117,NEXPERIA,"BZX384-B30,115",
193.0119,ON SEMICONDUCTOR,MURS340T3G,
193.0120,ON SEMICONDUCTOR,SURS8140T3G,
193.0121,NEXPERIA,"BZV90-C10,115",
193.0122,NEXPERIA,"BZV90-C2V4,115",
193.0124,ON SEMICONDUCTOR,SS23,
193.0125,DIODES INC,SMBJ130A-13-F,
193.0126,DIODES INC,BAV21W-7-F,
193.0127,NEXPERIA,"BZV90-C4V7,115",
193.0128,MICRO COMMERCIAL COMPONENTS,SMBJ5382B-TP,
193.0129,ON SEMICONDUCTOR,UESD5.0DT5G,
193.0130,ON SEMICONDUCTOR,MBRS130T3G,
193.0132,DIODES INC,MMSZ5254B-7-F,
193.0133,INFINEON,BGX50AE6327,
193.0134,ST MICROELECTRONICS,STTH506B,
193.0135,ON SEMICONDUCTOR,MURS160T3G,
193.0136,VISHAY,BYG20J,
193.0137,ON SEMICONDUCTOR,MRA4007T3G,
193.0138,FAIRCHILD,S3M,
193.0139,ON SEMICONDUCTOR,MMSZ5267BT1G,
193.0140,ON SEMICONDUCTOR,MMSZ5230BT1G,
193.0141,ON SEMICONDUCTOR,MMSZ5237BT1G,
193.0142,ZETEX,ZHCS1000,
193.0143,FAIRCHILD,BAT54,
193.0144,DIODES INC,ZHCS400,
193.0146,SEMTECH,RCLAMP0524PATCT,
193.0147,NXP SEMICONDUCTOR,"PRTR5V0U2X,215",
193.0148,KINGBRIGHT,APB3025SURKQBDC,
193.0149,ROHM,KDZLVTR100,
193.0150,SMC Diode Solutions,ES1JTR,
193.0151,MICRO COMMERCIAL COMPONENTS,ES2J-LTP,
